5,360
209,385
415,401
621,404
827,389
1033,373
1238,386
1443,402
1649,405
1855,391
2061,377
2267,383
2471,400
2677,405
2883,392
3089,379
3295,382
3501,398
3705,403
3911,392
4117,382
4323,382
4529,395
4734,403
4939,393
5145,381
5351,384
5557,395
5763,401
5968,393
6173,381
6379,385
6585,395
6791,400
6996,393
7202,380
7407,386
7613,396
7819,399
8025,393
8230,381
8436,384
8642,396
8847,401
9053,393
9259,380
9464,383
9670,397
9876,403
10081,393
10287,382
10492,380
10698,398
10904,406
11110,396
11316,380
11522,377
11726,394
11932,409
12138,402
12344,380
12550,377
12755,389
12961,407
13167,407
13372,388
13578,373
13784,385
13989,402
14195,405
14401,393
14607,379
14813,381
15019,397
15223,402
15429,391
15635,381
15841,387
16047,399
16252,399
16458,389
16664,379
16869,389
17075,402
17281,403
17486,389
17692,377
17898,383
18104,405
18310,407
18515,390
18720,376
18926,381
19132,399
19338,410
19544,398
19749,376
19955,377
20161,394
20366,408
20572,403
20777,384
20983,376
21189,389
21395,402
21601,399
21807,386
22012,383
22217,391
22423,400
22629,397
22835,383
23041,380
23246,395
23452,404
23658,394
23863,383
24069,378
24274,394
24480,407
24686,402
24892,382
25098,376
25304,389
25509,410
25714,406
25920,386
26126,374
26332,384
26537,402
26743,409
26949,394
27155,376
27360,381
27566,398
27771,404
27977,393
28183,382
28389,384
28595,396
28801,400
29006,392
29211,380
29417,388
29623,399
29829,403
30034,390
30240,378
30446,383
30652,403
30857,406
31063,391
31268,378
31474,379
31680,398
31886,410
32092,398
32297,376
32503,378
32708,394
32914,410
33120,403
33326,383
33531,375
33737,388
33943,404
34149,403
34354,388
34560,379
34765,388
34971,399
35177,398
35383,386
35589,381
35794,392
36000,402
36205,397
36411,385
36617,378
36823,394
37028,405
37234,401
37440,383
37646,376
37851,388
38056,408
38262,406
38468,386
38674,374
38880,383
39086,403
39291,409
39497,394
39702,374
39908,380
40114,396
40320,406
40525,396
40731,383
40937,381
41143,394
41349,401
41553,393
41759,381
41965,387
42171,397
42377,401
42583,392
42788,379
42994,382
43199,401
43405,406
43611,391
43816,378
44022,379
44228,398
44434,409
44640,399
44846,378
45050,376
45256,393
45462,410
45668,403
45874,384
46080,375
46285,387
46491,403
46697,404
46902,389
47108,379
47313,386
47519,398
47725,400
47931,386
48137,380
48343,390
48547,401
48753,397
48959,386
49165,377
49371,392
49576,405
49782,401
49988,384
50194,376
50399,386
50605,406
50810,406
51016,388
51222,374
51428,382
51634,402
51840,410
52044,395
52250,376
52456,380
52662,396
52868,407
53073,399
53279,383
53485,379
53691,392
53896,401
54102,395
54307,383
54513,385
54719,396
54925,401
55131,394
55336,381
55541,382
55747,399
55953,405
56159,392
56365,380
56570,379
56776,396
56982,408
57188,400
57393,379
57598,376
57804,391
58010,410
58216,404
58422,384
58628,375
58833,387
59039,404
59244,407
59450,391
59656,377
59862,384
60067,398