Time,D
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,103
12,97
13,96
14,95
15,91
16,89
17,88
18,85
19,84
20,83
21,81
22,79
23,77
24,76
25,74
26,73
27,74
28,72
29,70
30,70
31,69
32,69
33,68
34,67
35,67
36,67
37,66
38,66
39,66
40,66
41,67
42,66
43,66
44,67
45,67
46,67
47,66
48,66
49,66
50,66
51,68
52,67
53,67
54,66
55,68
56,68
57,67
58,67
59,66
60,67
61,67
62,66
63,67
64,67