Time5,Brightness5
11,58
18,62
24,62
31,64
37,66
45,65
51,64
58,66
64,67
71,66
77,65
84,67
91,68
98,66
104,66
111,68
117,68
124,67
131,67
138,69
144,68
151,67
157,69
164,69
171,68
178,68
184,70
191,70
198,68
204,69
211,70
218,69
225,68
231,70
238,70
244,69
251,69
258,71
265,69
271,69
278,70
285,70
291,69
299,69
305,71
312,70
318,69
326,69
334,70
344,70
352,70
360,71
368,71
376,70
385,69
393,68
401,68
410,67
418,67
427,67
435,68
443,68
451,69
459,69
467,69
477,68
485,67
493,67
501,66
509,65
518,64
526,64
534,64
543,65
551,65
560,66
568,66
576,66
584,65
592,64
601,63
610,63
618,62
626,62
634,61
643,61
651,62
659,63
667,63
676,63
685,62
693,61
701,61
709,60
717,60
726,60
734,59
743,59
751,59
759,60
768,61
776,61
784,61
792,61
800,60
809,60
818,60
826,59
834,59
842,59
850,59
859,59
867,60
876,62
884,62
892,61
901,61
909,61
917,61
925,61
933,61
943,60
951,60
959,61
967,62
975,63
984,64
992,64
1000,64
1010,63
1019,63
1029,64
1038,64
1047,65
1056,64
1065,64
1076,65
1085,65
1094,66
1103,66
1113,66
1122,67
1131,66
1141,67
1150,67
1160,67
1169,68
1178,68
1187,68
1197,68
1207,69
1216,69
1225,68
1234,69
1244,69
1253,69
1262,69
1272,69
1282,70
1291,69
1300,70
1309,69
1318,70
1328,70
1337,69
1347,70
1356,69
1366,70
1375,70
1384,69
1393,70
1402,69
1413,69
1422,69
1431,69
1440,69
1449,68
1459,69
1468,68
1478,68
1487,68
1497,67
1506,68
1515,67
1524,67
1533,67
1544,66
1553,66
1562,65
1571,66
1581,65
1590,64
1599,65
1609,64
1618,65
1628,64
1637,63
1646,63
1655,62
1665,63
1675,62
1684,62
1693,62
1702,61
1712,62
1721,61
1730,61
1740,61
1750,60
1759,60
1768,60
1777,61
1786,60
1796,60
1806,59
1815,59
1824,60
1833,60
1843,60
1852,59
1861,59
1871,60
1881,59
1890,60
1899,60
1908,59
1917,60
1927,59
1936,61
1946,61
1955,60
1965,60
1974,60
1983,61
1992,61
2001,61
2012,61
2021,61
2030,62
2039,62
2049,63
2058,63
2067,63
2077,63
2086,63
2096,64
2105,64
2114,64
2123,65
2132,64
2143,66
2152,65
2161,66
2170,66
2180,66
2189,67
2198,66
2208,67
2217,67
2227,67
2236,68
2245,67
2254,68
2264,68
2274,68
2283,69
2292,68
2301,69
2311,68
2320,69
2329,69
2339,69
2349,70
2358,69
2367,69
2376,69
2385,69
2395,70
2405,69
2414,69
2423,69
2433,69
2442,70
2451,69
2460,69
2470,68
2480,69
2489,69
2498,68
2507,68
2516,68
2526,68
2535,67
2545,67
2554,67
2564,66
2573,67
2582,66
2591,66
2600,66
2611,65
2620,66
2629,65
2638,65
2648,64
2657,63
2666,64
2676,63
2685,64
2695,63
2704,62
2713,63
2722,62
2732,63
2742,62
2751,61
2760,61
2769,60
2779,61
2788,61
2797,61
2807,60
2817,60
2826,60
2835,60
2844,60
2853,60
2863,59
2873,59
2882,59
