1,0,60
202,0,59
404,0,60
605,0,60
806,0,60
1008,0,60
1210,0,59
1412,0,60
1613,0,60
1815,0,60
2017,0,60
2219,0,60
2420,0,60
2622,0,60
2823,0,60
3024,0,60
3226,0,60
3428,0,60
3630,0,60
3831,0,60
4033,0,60
4235,0,60
4436,5,60
4638,37,60
4840,75,59
5042,111,59
5243,153,61
5445,181,59
5647,203,60
5849,220,60
6050,237,60
6252,257,60
6454,276,60
6656,296,60
6857,313,60
7059,329,60
7261,351,59
7462,366,59
7664,378,60
7866,382,59
8068,386,59
8269,386,60
8471,393,60
8673,396,62
8875,400,60
9076,406,60
9278,414,60
9480,415,60
9681,417,60
9883,417,60
10085,417,60
10287,416,60
10488,417,60
10690,417,60
10892,417,60
11094,417,60
11295,417,61
11497,417,60
11699,416,60
11900,416,60
12102,417,60
12305,417,60
12507,416,61
12708,417,61
12910,417,62
13112,421,60
13314,424,61
13515,424,61
13717,424,60
13919,424,60
14120,424,61
14322,424,61
14524,423,61
14726,424,60
14927,423,61
15129,424,61
15331,424,61
15533,424,61
15734,423,61
15937,424,60
16139,423,60
16340,423,61
16542,424,61
16744,423,61
16946,423,62
17147,423,61
17349,423,61
17551,423,62
17753,423,61
17954,423,61
18156,423,61
18358,423,61
18560,423,60
18761,423,61
18963,423,61
19165,423,61
19366,423,62
19568,423,61
19771,423,61
19973,423,63
20174,423,62
20376,423,61
20578,422,61
20780,423,61
20981,422,61
21183,423,61
21385,423,62
21586,422,61
21788,422,61
21990,422,61
22192,422,62
22393,423,62
22595,423,61
22797,422,61
22999,422,62
23200,423,60
23403,422,61
23605,422,62
23806,422,62
24008,422,61
24210,422,62
24412,422,62
24613,422,63
24815,422,61
25017,421,61
25219,422,62
25420,421,61
25622,422,62
25824,422,62
26025,421,61
26227,421,61
26429,422,62
26631,422,62
26832,421,62
27035,421,62
27237,421,62
27439,421,62
27640,422,62
27842,422,61
28044,421,62
28246,421,62
28447,421,62
28649,404,62
28851,337,62
29052,177,62
29254,89,62
29456,15,62
29658,0,62
29859,0,62
30061,0,62
30263,0,62
30465,0,62
30666,0,62
30868,0,62
31070,0,61
31271,0,62
31473,0,62
31675,0,62
31877,0,62
32078,0,62
32280,0,62
32482,0,62
32684,0,62
32885,0,61
33087,0,62
33289,0,62
33490,0,62
33691,0,62
33893,0,62
34095,0,62
34296,0,62
34498,0,61
34700,0,62
34902,0,61
35103,0,62
35305,0,61
35507,0,62
35708,0,61
35910,0,61
36112,0,62
36314,0,61
36515,0,62
36717,0,62
36919,0,61
37121,0,62
37322,0,62
37524,0,62
37726,0,62
37927,0,62
38129,0,61
38331,0,61
38533,0,61
